,Provincias,Ramas de actividad,periodo,Total,id
1149,Palencia,Impuestos netos sobre los productos,2021,409.982,34
1150,Palencia,Impuestos netos sobre los productos,2020,352.592,34
1151,Palencia,Impuestos netos sobre los productos,2019,410.372,34
1152,Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4.303.764,34
1153,Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4.029.182,34
1154,Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,4.410.268,34
1155,"Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22.056.871,35
1156,"Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,19.692.679,35
1157,"Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,24.214.216,35
1158,"Palmas, Las","A. Agricultura, ganadería, silvicultura y pesca",2021,247.736,35
1159,"Palmas, Las","A. Agricultura, ganadería, silvicultura y pesca",2020,255.269,35
1160,"Palmas, Las","A. Agricultura, ganadería, silvicultura y pesca",2019,264.322,35
1161,"Palmas, Las","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.514.492,35
1162,"Palmas, Las","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.410.524,35
1163,"Palmas, Las","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.534.808,35
1164,"Palmas, Las",C. - De las cuales: Industria manufacturera,2021,719.414,35
1165,"Palmas, Las",C. - De las cuales: Industria manufacturera,2020,684.010,35
1166,"Palmas, Las",C. - De las cuales: Industria manufacturera,2019,799.644,35
1167,"Palmas, Las",F. Construcción,2021,1.273.844,35
1168,"Palmas, Las",F. Construcción,2020,1.186.512,35
1169,"Palmas, Las",F. Construcción,2019,1.271.859,35
1170,"Palmas, Las","G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,6.618.825,35
1171,"Palmas, Las","G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,5.324.925,35
1172,"Palmas, Las","G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,8.579.740,35
1173,"Palmas, Las","K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,4.935.073,35
1174,"Palmas, Las","K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4.763.697,35
1175,"Palmas, Las","K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,5.091.851,35
1176,"Palmas, Las","O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,5.365.733,35
1177,"Palmas, Las","O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,5.028.455,35
1178,"Palmas, Las","O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,5.218.522,35
1179,"Palmas, Las",Valor añadido bruto total,2021,19.955.703,35
1180,"Palmas, Las",Valor añadido bruto total,2020,17.969.382,35
1181,"Palmas, Las",Valor añadido bruto total,2019,21.961.102,35
1182,"Palmas, Las",Impuestos netos sobre los productos,2021,2.101.168,35
1183,"Palmas, Las",Impuestos netos sobre los productos,2020,1.723.297,35
1184,"Palmas, Las",Impuestos netos sobre los productos,2019,2.253.114,35
1185,"Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22.056.871,35
1186,"Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,19.692.679,35
1187,"Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,24.214.216,35
1188,Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21.988.329,36
1189,Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20.025.926,36
1190,Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,21.637.314,36
1191,Pontevedra,"A. Agricultura, ganadería, silvicultura y pesca",2021,742.360,36
1192,Pontevedra,"A. Agricultura, ganadería, silvicultura y pesca",2020,676.570,36
1193,Pontevedra,"A. Agricultura, ganadería, silvicultura y pesca",2019,818.688,36
1194,Pontevedra,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,4.744.084,36
1195,Pontevedra,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3.994.501,36
